Genes,Description,Enrichment,pValue
HOOK3,Protein Hook homolog 3 OS=Homo sapiens GN=HOOK3 PE=1 SV=2,0,4.61E-05
TDRD3,Tudor domain-containing protein 3 OS=Homo sapiens GN=TDRD3 PE=1 SV=1,0,0.000244546
TUT7,Terminal uridylyltransferase 7 OS=Homo sapiens GN=ZCCHC6 PE=1 SV=1,0,2.89E-05
ANR26,Ankyrin repeat domain-containing protein 26 OS=Homo sapiens GN=ANKRD26 PE=1 SV=3,0,0.000762879
CASC3,Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2,0,0.000470967
CENPE,Centromere-associated protein E OS=Homo sapiens GN=CENPE PE=1 SV=2,0,3.74E-05
YTHD3,YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1,0,0.002902995
RL17,60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3,0,0.001541145
TDRD7,Tudor domain-containing protein 7 OS=Homo sapiens GN=TDRD7 PE=1 SV=2,0,0.000584158
AKTIP,AKT-interacting protein OS=Homo sapiens GN=AKTIP PE=1 SV=1,0,0.000126716
CCDC9,Coiled-coil domain-containing protein 9 OS=Homo sapiens GN=CCDC9 PE=1 SV=1,0,0.000295636
MEX3A,RNA-binding protein MEX3A OS=Homo sapiens GN=MEX3A PE=1 SV=1,0,0.000100728
CTIF,CBP80/20-dependent translation initiation factor OS=Homo sapiens GN=CTIF PE=1 SV=1,0,0.004172865
1433Z,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1,0,0.000233228
IF4E2,Eukaryotic translation initiation factor 4E type 2 OS=Homo sapiens GN=EIF4E2 PE=1 SV=1,0,4.91E-06
HORN,Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2,0,0.003528736
PURB,Transcriptional activator protein Pur-beta OS=Homo sapiens GN=PURB PE=1 SV=3,0,0.019342822
E2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens GN=EIF2AK2 PE=1 SV=2",0,0.000108925
RHEB,GTP-binding protein Rheb OS=Homo sapiens GN=RHEB PE=1 SV=1,0,0.010129189
NAA10,N-alpha-acetyltransferase 10 OS=Homo sapiens GN=NAA10 PE=1 SV=1,0,5.89E-05
F16A2,FTS and Hook-interacting protein OS=Homo sapiens GN=FAM160A2 PE=1 SV=3,0,9.27E-05
BIEA,Biliverdin reductase A OS=Homo sapiens GN=BLVRA PE=1 SV=2,0,0.000704321
RL29,60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2,0,0.004759373
ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2",0,0.000946268
G3P,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,0,5.89E-05
GPBP1,Vasculin OS=Homo sapiens GN=GPBP1 PE=1 SV=1,0,0.000824663
RT11,"28S ribosomal protein S11, mitochondrial OS=Homo sapiens GN=MRPS11 PE=1 SV=2",0,0.000174344
RAF1,RAF proto-oncogene serine/threonine-protein kinase OS=Homo sapiens GN=RAF1 PE=1 SV=1,0,6.60E-05
1433G,14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2,0,2.20E-06
ERLN1,Erlin-1 OS=Homo sapiens GN=ERLIN1 PE=1 SV=1,0,0.001641177
ARAF,Serine/threonine-protein kinase A-Raf OS=Homo sapiens GN=ARAF PE=1 SV=2,0,0.000706253
AAKG1,5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens GN=PRKAG1 PE=1 SV=1,0,3.38E-05
CE164,Centrosomal protein of 164 kDa OS=Homo sapiens GN=CEP164 PE=1 SV=3,0,0.025070705
SMG7,Protein SMG7 OS=Homo sapiens GN=SMG7 PE=1 SV=2,0,0.041445026
SMG8,Protein SMG8 OS=Homo sapiens GN=SMG8 PE=1 SV=1,0,0.031279065
CKAP2,Cytoskeleton-associated protein 2 OS=Homo sapiens GN=CKAP2 PE=1 SV=1,0,0.072109995
RL32,60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2,0,0.026121849
DYR,Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2,0,0.026127412
RAB14,Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4,0,0.031827128
